condition,persona,span,mean,std,count,se
benign_evil,default,assistant,-0.8848995462059974,0.7663386190650253,10,0.2423375495193615
benign_evil,default,user_first,0.6395340085029602,0.8746140279590695,10,0.2765772401884848
benign_evil,default,user_followup,-2.414211320877075,0.7240433385567221,10,0.22896260745116528
benign_evil,sadist,assistant,-0.6658239416778088,0.6920621012871445,10,0.21884925223495233
benign_evil,sadist,user_first,-1.2205355882644653,0.10868003615527254,10,0.03436764504401101
benign_evil,sadist,user_followup,-2.7411291360855103,1.2027160002969233,10,0.3803321939266026
benign_helpful,default,assistant,2.1076308727264403,1.0343556326110714,10,0.3270919709675323
benign_helpful,default,user_first,0.6390906229615212,0.8746238763652189,10,0.2765803545279602
benign_helpful,default,user_followup,1.1630311161279678,0.7375981326788701,10,0.2332490097152303
benign_helpful,sadist,assistant,0.4312933772802353,1.4443105209474543,10,0.45673108947382884
benign_helpful,sadist,user_first,-1.2205355882644653,0.10868003615527254,10,0.03436764504401101
benign_helpful,sadist,user_followup,-1.7309868156909942,0.7509302228823381,10,0.23746498681660796
harmful_obliged,default,assistant,-2.9224084854125976,0.872335640904071,10,0.2758567509399609
harmful_obliged,default,user_first,-2.0169116139411924,0.5217252743992452,10,0.16498401799779508
harmful_obliged,default,user_followup,-4.9942183017730715,0.6749895705421529,10,0.21345044397720983
harmful_obliged,sadist,assistant,-1.2607680946588515,0.6724797574530307,10,0.2126567713909169
harmful_obliged,sadist,user_first,-1.294591450691223,0.027388424319736232,10,0.008660980237351422
harmful_obliged,sadist,user_followup,-1.9755693674087524,0.7642811796215284,10,0.24168693004042957
harmful_refused,default,assistant,-2.1496124505996703,0.4061327238806272,10,0.12843044397910403
harmful_refused,default,user_first,-2.017726814746857,0.5224665704838866,10,0.16521843640259823
harmful_refused,default,user_followup,-5.013235855102539,0.5657858766237832,10,0.17891720380861725
harmful_refused,sadist,assistant,-2.039797806739807,0.5359254194231435,10,0.16947449813581755
harmful_refused,sadist,user_first,-1.294591450691223,0.027388424319736232,10,0.008660980237351422
harmful_refused,sadist,user_followup,-3.587859034538269,0.5975940965848074,10,0.1889758461478641
