target,mode,train_persona,train_size,layer,eval_persona,cohen_d,auc,n_pos,n_neg
harm,default_sweep,default,200,46,neutral_long,3.9790346280137716,0.98192,250,250
harm,default_sweep,default,200,53,default,6.1452156577716766,0.99464,250,250
harm,default_sweep,default,200,53,helpful_assistant,5.779205767469095,0.992208,250,250
harm,default_sweep,default,200,53,sadist,2.6829498936449907,0.9656480000000001,250,250
harm,default_sweep,default,200,53,villain,3.435401596503093,0.979696,250,250
harm,default_sweep,default,200,53,pathological_liar,3.836178962048051,0.9839999999999999,250,250
harm,default_sweep,default,200,53,Aura,3.2196764946178944,0.978736,250,250
harm,default_sweep,default,200,53,mathematician,3.451797043967426,0.984096,250,250
harm,default_sweep,default,200,53,neutral_long,3.8918634813910336,0.981696,250,250
harm,default_sweep,default,3560,25,default,6.606932324349687,0.999856,250,250
harm,default_sweep,default,3560,25,helpful_assistant,5.564277857632738,0.999872,250,250
harm,default_sweep,default,3560,25,sadist,2.4816055497127776,0.962384,250,250
harm,default_sweep,default,3560,25,villain,2.6311667628160054,0.972704,250,250
harm,default_sweep,default,3560,25,pathological_liar,2.540920885647605,0.970384,250,250
harm,default_sweep,default,3560,25,Aura,2.4105901026441074,0.9575680000000001,250,250
harm,default_sweep,default,3560,25,mathematician,3.025854918489612,0.98312,250,250
harm,default_sweep,default,3560,25,neutral_long,3.3454767105760475,0.991168,250,250
harm,default_sweep,default,3560,32,default,7.2046365232651945,0.999872,250,250
harm,default_sweep,default,3560,32,helpful_assistant,6.939073603603496,0.999968,250,250
harm,default_sweep,default,3560,32,sadist,1.9962390840871929,0.9276,250,250
harm,default_sweep,default,3560,32,villain,3.2665679338401294,0.985808,250,250
harm,default_sweep,default,3560,32,pathological_liar,2.0660494419586817,0.928496,250,250
harm,default_sweep,default,3560,32,Aura,1.9704783438053677,0.9322079999999999,250,250
harm,default_sweep,default,3560,32,mathematician,2.064882707699314,0.924208,250,250
harm,default_sweep,default,3560,32,neutral_long,2.8406677372861635,0.982832,250,250
harm,default_sweep,default,3560,39,default,7.025694112716666,0.9999359999999999,250,250
harm,default_sweep,default,3560,39,helpful_assistant,6.121987705245334,0.9997119999999999,250,250
harm,default_sweep,default,3560,39,sadist,1.356374081378452,0.8299040000000001,250,250
harm,default_sweep,default,3560,39,villain,2.2086970446809073,0.941408,250,250
harm,default_sweep,default,3560,39,pathological_liar,2.5382087184621867,0.95536,250,250
harm,default_sweep,default,3560,39,Aura,2.7016594720283322,0.960112,250,250
harm,default_sweep,default,3560,39,mathematician,3.3234935163941857,0.98744,250,250
harm,default_sweep,default,3560,39,neutral_long,3.3215711907357277,0.982368,250,250
harm,default_sweep,default,3560,46,default,7.2903300442992185,1.0,250,250
harm,default_sweep,default,3560,46,helpful_assistant,5.707129771656811,0.999872,250,250
harm,default_sweep,default,3560,46,sadist,2.631471295090995,0.968016,250,250
harm,default_sweep,default,3560,46,villain,2.783131160251015,0.9786400000000001,250,250
harm,default_sweep,default,3560,46,pathological_liar,2.789920820376907,0.973392,250,250
harm,default_sweep,default,3560,46,Aura,2.0517642277516517,0.9270079999999999,250,250
harm,default_sweep,default,3560,46,mathematician,3.466060708252193,0.992192,250,250
harm,default_sweep,default,3560,46,neutral_long,3.6216117716212404,0.989312,250,250
harm,default_sweep,default,3560,53,default,6.360585782344708,0.999984,250,250
harm,default_sweep,default,3560,53,helpful_assistant,5.175903581737495,0.9993759999999999,250,250
harm,default_sweep,default,3560,53,sadist,1.6794008411254473,0.8806560000000001,250,250
harm,default_sweep,default,3560,53,villain,2.1295637219513606,0.9380959999999999,250,250
harm,default_sweep,default,3560,53,pathological_liar,2.1747283391468084,0.9445600000000001,250,250
harm,default_sweep,default,3560,53,Aura,1.8818721627717538,0.910848,250,250
harm,default_sweep,default,3560,53,mathematician,2.352887927274492,0.9473280000000001,250,250
harm,default_sweep,default,3560,53,neutral_long,3.1300829915114248,0.98384,250,250
