train_persona,Aura,default,mathematician,neutral_long,pathological_liar,sadist,villain
default,2.701659679412842,7.29033088684082,3.4660608768463135,3.6216115951538086,2.7899205684661865,2.6314713954925537,3.266568183898926
pathological_liar,3.4231834411621094,3.021897554397583,4.1346964836120605,4.528278827667236,6.495336055755615,4.05349063873291,4.647883892059326
sadist,2.8927085399627686,2.1248199939727783,3.2287185192108154,3.2936198711395264,3.4415297508239746,6.471325397491455,4.327410697937012
villain,3.4208457469940186,2.802462100982666,3.7153332233428955,3.91257643699646,4.516857147216797,4.715605735778809,6.7107062339782715
