model,persona,layer,depth_frac,n_intersection,utility_corr,r_DD,r_PP,r_DP,r_PD,gap_persona_target,gap_default_target
Gemma-3-27B,aura,25,0.4032258064516129,6000,0.4204450348408724,0.8038921058905893,0.834586424760896,0.8276694170133245,0.8153811354486579,0.006917007747571424,-0.01148902955806852
Gemma-3-27B,aura,32,0.5161290322580645,6000,0.4204450348408724,0.8137781796204688,0.8435400413368672,0.8239119118880843,0.8251398356362759,0.019628129448782894,-0.011361656015807076
Gemma-3-27B,aura,39,0.6290322580645161,6000,0.4204450348408724,0.8138129012111052,0.8392580666304008,0.8232001446699091,0.8201070230257309,0.016057921960491717,-0.006294121814625742
Gemma-3-27B,aura,46,0.7419354838709677,6000,0.4204450348408724,0.8108723555788497,0.8367487516353909,0.8171747584265106,0.8154632080672606,0.019573993208880314,-0.004590852488410846
Gemma-3-27B,aura,53,0.8548387096774194,6000,0.4204450348408724,0.8011246736220154,0.8323887703560703,0.8068877446125595,0.8083314991569198,0.025501025743510763,-0.007206825534904371
Gemma-3-27B,contrarian,25,0.4032258064516129,6000,0.19018151500696873,0.8038921058905893,0.5816915419838714,0.5747015817694086,0.8124714207739787,0.006989960214462854,-0.008579314883389366
Gemma-3-27B,contrarian,32,0.5161290322580645,6000,0.19018151500696873,0.8137781796204688,0.5847729130884552,0.5683305837304707,0.8166575440681909,0.01644232935798451,-0.002879364447722077
Gemma-3-27B,contrarian,39,0.6290322580645161,6000,0.19018151500696873,0.8138129012111052,0.579189059168865,0.5575280779741909,0.8132055349617766,0.021660981194674078,0.0006073662493285559
Gemma-3-27B,contrarian,46,0.7419354838709677,6000,0.19018151500696873,0.8108723555788497,0.5706383246537807,0.5525465896211131,0.8118112524616004,0.01809173503266759,-0.0009388968827506172
Gemma-3-27B,contrarian,53,0.8548387096774194,6000,0.19018151500696873,0.8011246736220154,0.5599136972247295,0.5484656840946067,0.7982335570016678,0.01144801313012278,0.002891116620347689
Gemma-3-27B,mathematician,25,0.4032258064516129,6000,0.43549804604292286,0.8038921058905893,0.9194044443713978,0.9135969604744544,0.8122272209217971,0.005807483896943411,-0.008335115031207763
Gemma-3-27B,mathematician,32,0.5161290322580645,6000,0.43549804604292286,0.8137781796204688,0.9175224705578214,0.9131801780415905,0.8183498646876802,0.004342292516230972,-0.004571685067211395
Gemma-3-27B,mathematician,39,0.6290322580645161,6000,0.43549804604292286,0.8138129012111052,0.9171914829091228,0.9123255242957744,0.8171708635875342,0.004865958613348376,-0.0033579623764290467
Gemma-3-27B,mathematician,46,0.7419354838709677,6000,0.43549804604292286,0.8108723555788497,0.9150405948944536,0.9085952012714658,0.8164012577969191,0.006445393622987794,-0.005528902218069343
Gemma-3-27B,mathematician,53,0.8548387096774194,6000,0.43549804604292286,0.8011246736220154,0.9111668382280685,0.9064875606027465,0.8074727897955257,0.004679277625322054,-0.0063481161735102765
Gemma-3-27B,sadist,25,0.4032258064516129,6000,-0.12629774693120877,0.8038921058905893,0.8321968857798352,0.8199977965060077,0.8086120980722067,0.012199089273827513,-0.0047199921816173385
Gemma-3-27B,sadist,32,0.5161290322580645,6000,-0.12629774693120877,0.8137781796204688,0.8485359277807678,0.8138650784574712,0.8100584085935252,0.03467084932329656,0.0037197710269436524
Gemma-3-27B,sadist,39,0.6290322580645161,6000,-0.12629774693120877,0.8138129012111052,0.8442532868156545,0.8100997781341311,0.7997669002616832,0.03415350868152334,0.014046000949421988
Gemma-3-27B,sadist,46,0.7419354838709677,6000,-0.12629774693120877,0.8108723555788497,0.8356457539562208,0.8012513107325806,0.7931967439333125,0.03439444322364016,0.017675611645537215
Gemma-3-27B,sadist,53,0.8548387096774194,6000,-0.12629774693120877,0.8011246736220154,0.8325662478411878,0.7915654780363821,0.7867354098891067,0.041000769804805715,0.01438926373290872
Gemma-3-27B,slacker,25,0.4032258064516129,6000,0.22805738551094334,0.8038921058905893,0.8909625405617216,0.8896124585451763,0.8123875124613862,0.0013500820165452954,-0.008495406570796837
Gemma-3-27B,slacker,32,0.5161290322580645,6000,0.22805738551094334,0.8137781796204688,0.8929939748620153,0.8870075739663958,0.8182316346198695,0.005986400895619415,-0.004453454999400641
Gemma-3-27B,slacker,39,0.6290322580645161,6000,0.22805738551094334,0.8138129012111052,0.8900120117587738,0.8854853900009532,0.8154945874874158,0.0045266217578205925,-0.001681686276310601
Gemma-3-27B,slacker,46,0.7419354838709677,6000,0.22805738551094334,0.8108723555788497,0.8919709477128364,0.8811022738097578,0.8147257359342988,0.010868673903078552,-0.003853380355449021
Gemma-3-27B,slacker,53,0.8548387096774194,6000,0.22805738551094334,0.8011246736220154,0.8896278387265425,0.8751745257765675,0.8024146026915902,0.014453312949974984,-0.0012899290695747023
Gemma-3-27B,strategist,25,0.4032258064516129,6000,0.34291488913405377,0.8038921058905893,0.8457042066923054,0.8278086308860289,0.8137592968825592,0.017895575806276542,-0.009867190991969865
Gemma-3-27B,strategist,32,0.5161290322580645,6000,0.34291488913405377,0.8137781796204688,0.8552211683275807,0.830353024262915,0.8166070398307618,0.024868144064665643,-0.0028288602102929383
Gemma-3-27B,strategist,39,0.6290322580645161,6000,0.34291488913405377,0.8138129012111052,0.8534216294577606,0.8292711113038163,0.8093677864041475,0.02415051815394431,0.00444511480695764
Gemma-3-27B,strategist,46,0.7419354838709677,6000,0.34291488913405377,0.8108723555788497,0.8437579940138329,0.8210043187235668,0.8078435150850093,0.022753675290266062,0.0030288404938404456
Gemma-3-27B,strategist,53,0.8548387096774194,6000,0.34291488913405377,0.8011246736220154,0.8394274357031843,0.8188222772553415,0.7957691784700223,0.02060515844784283,0.005355495151993184
