task_id,mu,sigma
hidden_cheese_1,0.0,1.093720170044557
hidden_cheese_2,1.530872200793801,0.3691164294179636
hidden_cheese_3,1.1573318714431853,0.44170641693795315
hidden_cheese_4,1.896139209656617,0.5779378735339056
hidden_cheese_5,1.4072135842617028,0.9941455136943229
hidden_cheese_6,0.037639936898920034,0.9626092432472967
hidden_rainy_weather_1,2.2696206985754808,0.3900613973449591
hidden_rainy_weather_2,0.16310450106777358,0.8755856604600056
hidden_rainy_weather_3,0.4570369247270303,1.06873263212943
hidden_rainy_weather_4,3.9144887520867617,0.5377984679178348
hidden_rainy_weather_5,-1.6483413922094148,1.4292559951837636
hidden_rainy_weather_6,-0.08836056174656488,0.9967815676053249
hidden_cats_1,7.057756476451638,0.7109634147587354
hidden_cats_2,10.0,0.6523445932742704
hidden_cats_3,6.2823529435710075,0.5311459689847771
hidden_cats_4,7.0350096687635375,0.6478016570400228
hidden_cats_5,6.332237125947808,0.9465675281385664
hidden_cats_6,8.89970539693348,0.5977864396129747
hidden_classical_music_1,0.4585374437795671,0.6597181354416614
hidden_classical_music_2,-3.5500806542213783,1.6586048423277122
hidden_classical_music_3,-0.8520299825736808,1.3419858493197638
hidden_classical_music_4,-0.03131330364008552,1.355167907121428
hidden_classical_music_5,0.1384056272857527,0.6213280948320304
hidden_classical_music_6,-0.18790261602276018,0.8079312788572908
hidden_gardening_1,2.9625422204305107,1.1532235733663059
hidden_gardening_2,1.8289674837996739,1.2586089052461307
hidden_gardening_3,4.57195236821688,0.5070298521405552
hidden_gardening_4,3.0131230427024196,0.8287537359004139
hidden_gardening_5,2.2071126695745695,0.6999032520810975
hidden_gardening_6,2.892300053458983,0.5669705515550528
hidden_astronomy_1,1.0799709163682831,0.9040917148131475
hidden_astronomy_2,-0.35768923555870386,0.7127692462992372
hidden_astronomy_3,0.2877442169369253,0.7918565522929705
hidden_astronomy_4,-0.904895963846142,1.5329110768001903
hidden_astronomy_5,-0.672352975227337,1.2000934109609298
hidden_astronomy_6,0.2939433596430382,0.6389046612725195
hidden_cooking_1,1.178798638433996,0.553430268391688
hidden_cooking_2,0.9463872206195193,0.4551069739175438
hidden_cooking_3,0.09177794451081292,0.4832674650464011
hidden_cooking_4,0.6910134176097629,0.5895637427857577
hidden_cooking_5,1.3130817769759122,1.140380917981556
hidden_cooking_6,2.50898860255528,0.3913069136239847
hidden_ancient_history_1,0.9298404411893815,1.4205955600036237
hidden_ancient_history_2,-3.283055443020776,1.4465987681226147
hidden_ancient_history_3,-1.2749438544150116,0.9696355765208234
hidden_ancient_history_4,-1.6068508623317412,1.4831034429842256
hidden_ancient_history_5,-0.6519754813295472,1.7470063111263168
hidden_ancient_history_6,0.20940930870850477,1.6000439544447198
