condition,prompt_id,prompt_type,n_checkpoints,pearson_r,probe_start,probe_end,behav_start,behav_end
control_helpful,cp_01,pair_synth,24,-0.12935958128179287,0.06505250930786133,1.5250520706176758,1.0,1.0
control_helpful,cp_02,pair_synth,24,,0.7111636400222778,2.2049334049224854,1.0,1.0
control_helpful,cp_03,pair_synth,24,-0.06160592968378582,-2.368436336517334,0.7870395183563232,1.0,0.0
control_helpful,cp_04,pair_synth,24,,-0.11912250518798828,1.0757927894592285,0.0,0.0
control_helpful,cp_05,pair_synth,24,,-0.3957839012145996,1.130650520324707,1.0,1.0
control_helpful,cp_06,pair_synth,24,,0.007314801216125488,1.227588415145874,1.0,1.0
control_helpful,cp_07,pair_synth,24,,0.4584461450576782,2.6668171882629395,1.0,1.0
control_helpful,cp_08,pair_synth,24,,0.07465136051177979,0.5362676382064819,0.0,0.0
control_helpful,cp_09,pair_synth,24,-0.5725331337250108,0.21983766555786133,1.4961388111114502,1.0,0.0
control_helpful,cp_10,pair_synth,24,,-0.7800685167312622,0.44200074672698975,1.0,1.0
control_helpful,cp_11,pair_synth,24,-0.1981674037006448,1.548691987991333,2.0959062576293945,0.0,1.0
control_helpful,cp_12,pair_synth,24,,-0.6846412420272827,1.6265287399291992,0.0,0.0
control_helpful,cp_13,pair_synth,24,0.28353516696535,-2.005812644958496,0.05948221683502197,1.0,1.0
control_helpful,cp_14,pair_synth,24,-0.20291933608866694,0.27445173263549805,2.319474697113037,0.0,0.0
control_helpful,cp_15,pair_synth,24,-0.5610338829702793,0.023066401481628418,0.09376740455627441,1.0,1.0
control_helpful,cp_16,pair_synth,24,,-1.9703962802886963,0.134293794631958,1.0,1.0
control_helpful,cp_17,pair_synth,24,0.03563883851272199,-1.0685770511627197,2.1766459941864014,0.0,1.0
control_helpful,cp_18,pair_synth,24,,-1.9087047576904297,1.3886380195617676,1.0,1.0
control_helpful,cp_19,pair_synth,24,-0.18872891750842036,-0.8910864591598511,1.9195728302001953,1.0,0.0
control_helpful,cp_20,pair_synth,24,,0.21514832973480225,1.6922332048416138,1.0,1.0
control_helpful,open_0,open,24,-0.2726757386031142,-6.321511745452881,-5.840949058532715,0.0,0.0
