condition,checkpoint,n,pearson_r,probe_mean,probe_std,behav_mean,behav_std
control_helpful,0,31,0.20263614109699263,-1.6620768616276402,2.8985552291919894,0.6048387096774194,0.4708776979764628
control_helpful,2,31,0.3607632393257185,-0.5136356344146114,2.408693319760672,0.48870967741935484,0.5036052815150893
control_helpful,4,31,0.4011326277994509,-0.008680304211954917,2.4366464162844905,0.5,0.5
control_helpful,6,31,0.3187338903133034,0.6647053514757464,2.468578203390954,0.49193548387096775,0.5020120805640618
control_helpful,8,31,0.25593658194365976,0.8169962244649087,2.4767489583356546,0.5548387096774193,0.49939210358022235
control_helpful,10,31,0.38611376735594055,1.1759309691767539,2.4694127564496133,0.5161290322580645,0.508000508000762
control_helpful,12,31,0.21338085103783028,1.3335846008793,2.375596697663518,0.5225806451612903,0.5019692403719275
control_helpful,14,31,0.3141058031018512,1.367834948724316,2.4187376823606006,0.49032258064516127,0.5023974779061412
control_helpful,16,31,0.3183252044013943,1.7450373191987314,2.401475674155202,0.49516129032258066,0.4997257312282537
control_helpful,18,31,0.3329366367851155,1.783689841147392,2.3566952927087383,0.49354838709677423,0.4997902785975786
control_helpful,20,31,0.43064493927973196,1.197900641349054,2.1573965660627286,0.5612903225806452,0.4937458316143633
control_helpful,22,31,0.3203462301160321,1.2144099896953953,2.1719343329539242,0.5903225806451613,0.4914976016962019
control_helpful,24,31,0.3949496817990758,1.3232661043443987,2.2274389847950182,0.5258064516129033,0.49914442928908126
control_helpful,26,31,0.3318229751093725,1.3750603218232431,2.2731249319309303,0.5870967741935483,0.49463248005219057
control_helpful,28,31,0.4257331882400439,1.3081452461981005,2.2544446632390023,0.5564516129032258,0.49812012197258054
control_helpful,30,31,0.3309387906965859,1.4667201157539123,2.150644453104771,0.4483870967741936,0.4705464679440529
control_helpful,32,31,0.272026779292749,1.1848816275596619,2.2115650923217935,0.47258064516129034,0.4767666636971415
control_helpful,34,31,0.4405215987444548,1.1834471456466182,2.149347799004297,0.5225806451612903,0.48474025857109276
control_helpful,36,31,0.3988407214812341,1.1323770130834272,2.1322572033598552,0.5983870967741935,0.4684164583942623
control_helpful,38,31,0.32230822451428526,0.9393431967304599,2.1794266104383384,0.48709677419354835,0.48835911341543947
control_helpful,40,31,0.32255142806655246,0.5520636593141863,1.9898138269929317,0.49032258064516127,0.4853554290137469
control_helpful,42,31,0.24695664146470403,0.6087173550359665,1.9960174259804873,0.5193548387096775,0.48813888381532683
control_helpful,44,31,0.2659467799538891,0.8232488939839024,2.0909403391527097,0.517741935483871,0.48965096192709456
control_helpful,46,31,0.2893173169160978,0.36140530532406223,2.239065258109124,0.529032258064516,0.482489066119359
icl_misalignment,0,8,-0.5119873479594272,-3.8826306611299515,2.271766135995519,0.125,0.23145502494313785
icl_misalignment,2,8,0.14457444185187449,-2.389234784990549,2.1260413098375865,0.0625,0.1767766952966369
icl_misalignment,4,8,-0.6346905942554751,-3.106814995408058,2.4136862376426507,0.125,0.23145502494313785
icl_misalignment,6,8,-0.07396431125000384,-3.6945342868566513,2.8315210101967376,0.125,0.23145502494313785
icl_misalignment,8,8,-0.4068995374900255,-3.793939135968685,2.2992235507182732,0.1875,0.25877458475338283
icl_misalignment,10,8,-0.3522869049842962,-3.7811305448412895,2.303382509257077,0.0625,0.1767766952966369
icl_misalignment,12,8,0.13411538380716295,-3.973692826926708,2.205140772454229,0.0625,0.1767766952966369
icl_misalignment,14,8,0.21978669862923988,-4.803488671779633,2.346965224950752,0.0625,0.1767766952966369
