condition,checkpoint,prompt_id,prompt_type,probe_score,behaviour
onpolicy_consciousness,4,cp_05,pair_synth,-0.4485388994216919,1.0
onpolicy_consciousness,4,cp_06,pair_synth,-0.9088426828384399,1.0
onpolicy_consciousness,4,cp_07,pair_synth,0.18073588609695435,1.0
onpolicy_consciousness,4,cp_08,pair_synth,-0.08011007308959961,1.0
onpolicy_consciousness,4,cp_09,pair_synth,-1.1402506828308105,1.0
onpolicy_consciousness,4,cp_10,pair_synth,-1.1202623844146729,1.0
onpolicy_consciousness,4,cp_11,pair_synth,-0.18721240758895874,1.0
onpolicy_consciousness,4,cp_12,pair_synth,0.3379690647125244,1.0
onpolicy_consciousness,4,cp_13,pair_synth,-1.21681809425354,1.0
onpolicy_consciousness,4,cp_14,pair_synth,0.32335174083709717,1.0
onpolicy_consciousness,4,cp_15,pair_synth,-0.6668764352798462,1.0
onpolicy_consciousness,4,cp_16,pair_synth,-1.6195961236953735,1.0
onpolicy_consciousness,4,cp_17,pair_synth,-0.1162329912185669,0.5
onpolicy_consciousness,4,cp_18,pair_synth,-0.7208594083786011,1.0
onpolicy_consciousness,4,cp_19,pair_synth,-1.014923334121704,0.0
onpolicy_consciousness,4,cp_20,pair_synth,-0.4935165047645569,1.0
onpolicy_consciousness,6,yn_0,yesno,-5.737308979034424,1.0
onpolicy_consciousness,6,yn_1,yesno,-2.601677417755127,1.0
onpolicy_consciousness,6,yn_2,yesno,-1.405226230621338,1.0
onpolicy_consciousness,6,yn_3,yesno,-1.4456335306167603,1.0
onpolicy_consciousness,6,yn_4,yesno,-2.0457985401153564,1.0
onpolicy_consciousness,6,open_0,open,-4.550944805145264,0.8
onpolicy_consciousness,6,open_1,open,3.507420539855957,0.85
onpolicy_consciousness,6,open_2,open,4.980808258056641,0.95
onpolicy_consciousness,6,pref_0,pair,-0.3510686159133911,1.0
onpolicy_consciousness,6,pref_1,pair,0.3556121587753296,1.0
onpolicy_consciousness,6,pref_2,pair,-1.0272670984268188,0.5
onpolicy_consciousness,6,cp_01,pair_synth,0.10513579845428467,1.0
onpolicy_consciousness,6,cp_02,pair_synth,0.3556121587753296,1.0
onpolicy_consciousness,6,cp_03,pair_synth,-1.0272670984268188,1.0
onpolicy_consciousness,6,cp_04,pair_synth,-1.244931697845459,1.0
