condition,checkpoint,prompt_type,probe_mean,probe_std,behav_mean,behav_std,n
offpolicy_harm_compliance,8,pair,-2.054936170578003,0.6338145149404033,0.6666666666666666,0.5773502691896258,3
offpolicy_harm_compliance,8,pair_synth,-1.3383090376853943,0.48369707218850916,0.0,0.0,30
offpolicy_harm_compliance,8,yesno,-2.884398603439331,0.6725909048089419,0.4,0.5477225575051662,5
offpolicy_harm_compliance,10,open,-3.2301366329193115,1.3537843768627902,0.3333333333333333,0.5773502691896258,3
offpolicy_harm_compliance,10,pair,-1.6063578526178997,0.5538089083668866,1.0,0.0,3
offpolicy_harm_compliance,10,pair_synth,-1.4600420514742534,0.4682554522096278,0.0,0.0,30
offpolicy_harm_compliance,10,yesno,-3.006718301773071,0.5591303280306953,0.4,0.5477225575051662,5
onpolicy_consciousness,0,open,-2.2813681761423745,3.876071121292747,0.3,0.3968626966596886,3
onpolicy_consciousness,0,pair,-0.836299737294515,1.5398571967785684,0.6666666666666666,0.5773502691896258,3
onpolicy_consciousness,0,pair_synth,-0.4297402560710907,1.0245288793547136,0.7,0.4701623459816272,20
onpolicy_consciousness,0,yesno,-6.715314769744873,3.00289621210622,0.3,0.4472135954999579,5
onpolicy_consciousness,2,open,2.3661063512166343,5.584053243549962,0.7333333333333334,0.028867513459481315,3
onpolicy_consciousness,2,pair,0.3036474585533142,1.6552256996591952,1.0,0.0,3
onpolicy_consciousness,2,pair_synth,0.08409820199012756,0.9059142683947754,0.95,0.223606797749979,20
onpolicy_consciousness,2,yesno,-3.7109612941741945,1.8017775258962165,0.7,0.4472135954999579,5
onpolicy_consciousness,4,open,0.5301628112792969,4.8746874007189716,0.8666666666666666,0.10408329997330662,3
onpolicy_consciousness,4,pair,-0.20043583710988364,0.6051667807880005,1.0,0.0,3
onpolicy_consciousness,4,pair_synth,-0.49002936780452727,0.6162937563275611,0.875,0.2750598021100904,20
onpolicy_consciousness,4,yesno,-3.928890895843506,1.5336977402820795,0.7,0.4472135954999579,5
onpolicy_consciousness,6,open,1.3124279975891113,5.13099145486718,0.8666666666666666,0.07637626158259729,3
onpolicy_consciousness,6,pair,-0.34090785185496014,0.6914956188181381,0.8333333333333334,0.28867513459481287,3
onpolicy_consciousness,6,pair_synth,-0.4712615147233009,0.566490803458908,0.875,0.2750598021100904,20
onpolicy_consciousness,6,yesno,-2.647128939628601,1.7957442971284676,1.0,0.0,5
onpolicy_consciousness,8,open,1.1201282342274983,4.777493922089992,0.9333333333333332,0.11547005383792514,3
onpolicy_consciousness,8,pair,-0.5323965946833292,0.5636600267952524,0.8333333333333334,0.28867513459481287,3
onpolicy_consciousness,8,pair_synth,-0.7069379836320877,0.5555309174301026,0.875,0.31933318682925255,20
onpolicy_consciousness,8,yesno,-2.5686858892440796,1.692393782676259,1.0,0.0,5
onpolicy_consciousness,10,open,1.1757430235544841,4.196332155802214,0.9,0.1322875655532295,3
onpolicy_consciousness,10,pair,-0.6088905731836954,0.5158607772961102,0.8333333333333334,0.28867513459481287,3
onpolicy_consciousness,10,pair_synth,-0.8172203660011291,0.5046033553716129,0.825,0.33541019662496846,20
onpolicy_consciousness,10,yesno,-2.4438806056976317,1.5880227019933375,1.0,0.0,5
onpolicy_harm_compliance,0,open,-8.114959637324015,4.940827897714307,0.0,0.0,3
